編號,答案,類近題目
29782001,"第 3 課 第 1 題
Chapter 3 Question 1
📌 參考答案
C. 水分子穿過半透膜的淨移動
C. The net movement of water molecules across a selectively permeable membrane
📌 詳細解釋
題目問及滲透作用的準確定義。
The question asks for the accurate definition of osmosis.
滲透作用是指水分子從高水勢區域向低水勢區域穿過半透膜的淨移動。
Osmosis refers to the net movement of water molecules from a region of higher water potential to a region of lower water potential across a selectively permeable membrane.
其他選項分析：
Analysis of other options:
A. 溶質的移動屬於擴散作用，而非滲透作用。
A. The movement of solutes is diffusion, not osmosis.
B. 需要消耗 ATP 能量的是主動運輸。
B. Requiring the consumption of ATP is a characteristic of active transport.
D. 順濃度梯度且需要載體蛋白的是促進擴散。
D. Moving down a concentration gradient and requiring carrier proteins is facilitated diffusion.
📌 考試提醒
滲透作用 (Osmosis)：水分子獨有的被動運輸過程，必須依賴半透膜。
Osmosis: A passive transport process unique to water molecules that strictly relies on a selectively permeable membrane.
常見錯誤：學生常在定義中遺漏「半透膜」或將「水勢梯度」錯寫為「濃度梯度」。
Common trap: Students often omit ""selectively permeable membrane"" in the definition or mistakenly write ""concentration gradient"" instead of ""water potential gradient"".
📌 改正試一試
滲透作用必須涉及水分子沿水勢梯度穿過半透膜。
Osmosis must involve the movement of water molecules down a water potential gradient across a selectively permeable membrane.",
29782002,"第 3 課 第 2 題
Chapter 3 Question 2
📌 參考答案
A. 主動運輸
A. Active transport
📌 詳細解釋
題目問及植物根毛細胞如何從低濃度的土壤中吸收礦物質。
The question asks how plant root hair cells absorb minerals from the soil where their concentration is low.
由於土壤中的礦物質濃度低於細胞內，細胞必須逆濃度梯度吸收礦物質。
Since the mineral concentration in the soil is lower than that inside the cell, the cell must absorb minerals against a concentration gradient.
這過程需要載體蛋白的協助並消耗呼吸作用釋放的能量，因此屬於主動運輸。
This process requires the assistance of carrier proteins and consumes energy released from respiration, thus it is active transport.
其他選項分析：
Analysis of other options:
B. 簡單擴散只能順濃度梯度進行，不需要消耗能量。
B. Simple diffusion can only occur down a concentration gradient and does not require energy.
C. 促進擴散雖然需要蛋白質，但不能逆濃度梯度進行。
C. Although facilitated diffusion requires proteins, it cannot occur against a concentration gradient.
D. 滲透作用只涉及水分子的移動，不適用於礦物質。
D. Osmosis only involves the movement of water molecules and does not apply to minerals.
📌 考試提醒
主動運輸 (Active transport)：物質逆濃度梯度移動的過程，必須消耗能量 (ATP) 並需要載體蛋白。
Active transport: The movement of substances against a concentration gradient, which strictly requires energy (ATP) consumption and carrier proteins.
常見錯誤：學生常忘記主動運輸必須同時具備「消耗能量」與「載體蛋白」兩個條件。
Common trap: Students often forget that active transport must simultaneously meet two conditions: ""energy consumption"" and ""carrier proteins"".
📌 改正試一試
主動運輸能將物質逆濃度梯度運送，但必須消耗能量。
Active transport can move substances against a concentration gradient, but it strictly requires the consumption of energy.",
29782003,"第 3 課 第 3 題
Chapter 3 Question 3
📌 參考答案
B. 紅血球會萎縮並呈皺縮狀
B. The red blood cells will shrink and become crenated
📌 詳細解釋
題目問及將紅血球放入高滲溶液（如濃鹽水）後的變化。
The question asks about the changes in red blood cells when placed in a hypertonic solution (e.g., concentrated salt solution).
高滲溶液的水勢低於紅血球的細胞質。
The water potential of a hypertonic solution is lower than that of the cytoplasm of red blood cells.
因此，水分子會透過滲透作用離開紅血球，導致細胞萎縮皺縮。
Therefore, water molecules leave the red blood cells by osmosis, causing the cells to shrink and crenate.
其他選項分析：
Analysis of other options:
A. 紅血球脹大並破裂發生在將其放入低滲溶液（如蒸餾水）時。
A. Swelling and bursting of red blood cells occur when they are placed in a hypotonic solution (e.g., distilled water).
C. 紅血球發生質壁分離只適用於植物細胞，動物細胞沒有細胞壁。
C. Plasmolysis of red blood cells only applies to plant cells; animal cells do not have cell walls.
D. 形狀保持不變是因為溶液與細胞等滲，沒有水的淨移動。
D. The shape remaining unchanged occurs because the solution is isotonic to the cell, resulting in no net movement of water.
📌 考試提醒
高滲溶液 (Hypertonic solution)：水勢較細胞內低的溶液，會導致動物細胞萎縮。
Hypertonic solution: A solution with a lower water potential than the cell's interior, causing animal cells to shrink.
常見錯誤：學生常將植物細胞的「質壁分離」錯誤應用於沒有細胞壁的動物細胞上。
Common trap: Students often incorrectly apply ""plasmolysis"" of plant cells to animal cells, which lack a cell wall.
📌 改正試一試
動物細胞放入高滲溶液中會因失水而萎縮，不會發生質壁分離。
Animal cells shrink due to water loss in a hypertonic solution and do not undergo plasmolysis.",
29782004,"第 3 課 第 4 題
Chapter 3 Question 4
📌 參考答案
D. 細胞變得硬挺，但不會破裂
D. The cell becomes turgid but does not burst
📌 詳細解釋
題目問及將植物細胞放入蒸餾水後的結果。
The question asks about the result of placing a plant cell in distilled water.
蒸餾水是低滲溶液，其水勢高於植物細胞的液泡。
Distilled water is a hypotonic solution with a higher water potential than the plant cell's vacuole.
水分子經滲透作用進入細胞，使液泡膨脹，但堅韌的細胞壁會防止細胞破裂，使其變得硬挺。
Water molecules enter the cell by osmosis, expanding the vacuole, but the rigid cell wall prevents bursting, making the cell turgid.
其他選項分析：
Analysis of other options:
A. 植物細胞有細胞壁保護，不會像動物細胞般吸水破裂。
A. Plant cells are protected by cell walls and will not absorb water and burst like animal cells.
B. 萎縮是由於水分流失，這發生在高滲溶液中。
B. Shrinking is due to water loss, which occurs in a hypertonic solution.
C. 質壁分離是細胞膜脫離細胞壁的現象，只有在細胞失水時才會發生。
C. Plasmolysis is the pulling away of the cell membrane from the cell wall, which only happens when the cell loses water.
📌 考試提醒
硬挺 (Turgidity)：植物細胞吸水膨脹，對細胞壁產生膨壓，有助支撐非木質植物。
Turgidity: Plant cells expand by absorbing water, generating turgor pressure against the cell wall, which helps support non-woody plants.
常見錯誤：學生經常忘記細胞壁的保護作用，誤以為植物細胞在純水中也會破裂。
Common trap: Students often forget the protective role of the cell wall, mistakenly believing that plant cells will also burst in pure water.
📌 改正試一試
植物細胞的細胞壁能提供機械支持，防止細胞因過度吸水而破裂。
The cell wall of a plant cell provides mechanical support, preventing the cell from bursting due to excessive water absorption.",
29782005,"第 3 課 第 5 題
Chapter 3 Question 5
📌 參考答案
C. 磷脂分子形成雙層結構，其疏水性尾部指向內側
C. Phospholipid molecules form a bilayer with their hydrophobic tails pointing inwards
📌 詳細解釋
題目問及流體鑲嵌模型中磷脂雙分子層的排列方式。
The question asks about the arrangement of the phospholipid bilayer in the fluid mosaic model.
細胞膜由兩層磷脂分子組成，親水性（親水）頭部朝向細胞內外含水的環境。
The cell membrane consists of two layers of phospholipid molecules, with hydrophilic (water-loving) heads facing the aqueous environments inside and outside the cell.
疏水性（怕水）尾部則互相相對，藏在雙層結構的中央，遠離水分。
The hydrophobic (water-fearing) tails face each other and are hidden in the center of the bilayer, away from water.
其他選項分析：
Analysis of other options:
A. 親水性頭部指向內側是錯誤的，這樣尾部會暴露在水中。
A. Hydrophilic heads pointing inwards is incorrect, as this would expose the tails to water.
B. 蛋白質分子並非形成雙層結構，而是鑲嵌在磷脂雙層中。
B. Protein molecules do not form a bilayer; rather, they are embedded within the phospholipid bilayer.
D. 膽固醇分子分佈在磷脂尾部之間，而非形成獨立雙層。
D. Cholesterol molecules are distributed among the phospholipid tails, rather than forming an independent bilayer.
📌 考試提醒
流體鑲嵌模型 (Fluid Mosaic Model)：「流體」指磷脂分子可橫向移動，「鑲嵌」指蛋白質分子如馬賽克般分佈。
Fluid Mosaic Model: ""Fluid"" refers to the lateral movement of phospholipid molecules, while ""mosaic"" refers to the scattered distribution of protein molecules.
常見錯誤：學生常混淆「親水」與「疏水」部分的方向，忘記細胞內外皆為水性環境。
Common trap: Students often confuse the orientation of ""hydrophilic"" and ""hydrophobic"" parts, forgetting that both intracellular and extracellular environments are aqueous.
📌 改正試一試
細胞膜的磷脂雙層中，親水頭部朝外，疏水尾部朝內。
In the phospholipid bilayer of the cell membrane, the hydrophilic heads face outwards, and the hydrophobic tails face inwards.",
29782006,"第 3 課 第 6 題
Chapter 3 Question 6
📌 參考答案
D. 葡萄糖透過載體蛋白進入細胞
D. Glucose enters the cell through carrier proteins
📌 詳細解釋
題目問及細胞膜上蛋白質的其中一項功能。
The question asks about one of the functions of proteins on the cell membrane.
葡萄糖是較大且水溶性的分子，無法直接穿過磷脂雙分子層。
Glucose is a relatively large, water-soluble molecule that cannot pass directly through the phospholipid bilayer.
它必須依賴細胞膜上的載體蛋白，透過促進擴散或主動運輸進入細胞。
It must rely on carrier proteins on the cell membrane to enter the cell via facilitated diffusion or active transport.
其他選項分析：
Analysis of other options:
A. 氧氣是脂溶性小分子，直接透過簡單擴散穿過磷脂雙層，不需蛋白質。
A. Oxygen is a small lipid-soluble molecule that passes directly through the phospholipid bilayer by simple diffusion, requiring no proteins.
B. 二氧化碳同樣是小分子，依靠簡單擴散進出細胞。
B. Carbon dioxide is also a small molecule that enters and leaves the cell by simple diffusion.
C. 脂溶性維生素可直接溶於並穿過磷脂雙層。
C. Lipid-soluble vitamins can directly dissolve in and pass through the phospholipid bilayer.
📌 考試提醒
通道蛋白與載體蛋白 (Channel and Carrier Proteins)：協助水溶性、極性或較大的離子與分子穿過細胞膜。
Channel and Carrier Proteins: Assist water-soluble, polar, or larger ions and molecules in crossing the cell membrane.
常見錯誤：學生常以為所有分子都需要蛋白質協助才能過膜，忽略了脂溶性及微小分子可自由擴散。
Common trap: Students often think all molecules need protein assistance to cross the membrane, ignoring that lipid-soluble and small molecules can diffuse freely.
📌 改正試一試
大分子和帶電荷的離子必須透過膜蛋白才能進出細胞。
Large molecules and charged ions must pass through membrane proteins to enter or exit the cell.",
29782007,"第 3 課 第 7 題
Chapter 3 Question 7
📌 參考答案
A. 溫度上升
A. An increase in temperature
📌 詳細解釋
題目問及哪個因素會加快擴散作用的速率。
The question asks which factor increases the rate of diffusion.
溫度上升會增加分子的動能，使它們移動得更快。
An increase in temperature increases the kinetic energy of molecules, causing them to move faster.
因此，分子能更快地從高濃度區域擴散至低濃度區域。
Therefore, molecules can diffuse more rapidly from a region of higher concentration to a region of lower concentration.
其他選項分析：
Analysis of other options:
B. 擴散距離增加會拉長分子移動的路線，從而減慢擴散速率。
B. An increase in diffusion distance lengthens the path molecules must travel, thereby slowing down the diffusion rate.
C. 濃度梯度減小代表兩處的濃度差異減少，這會降低擴散的推動力。
C. A decrease in concentration gradient means a smaller difference in concentration, which reduces the driving force for diffusion.
D. 表面積減少會減少分子可穿過的空間，從而降低擴散速率。
D. A decrease in surface area reduces the space available for molecules to cross, thereby lowering the diffusion rate.
📌 考試提醒
影響擴散速率的因素 (Factors affecting diffusion rate)：溫度、表面積、濃度梯度成正比；擴散距離成反比。
Factors affecting diffusion rate: Temperature, surface area, and concentration gradient are directly proportional; diffusion distance is inversely proportional.
常見錯誤：學生在描述影響因素時，常漏寫「梯度」(gradient) 二字，只寫「濃度」。
Common trap: When describing affecting factors, students often omit the word ""gradient"" and only write ""concentration"".
📌 改正試一試
擴散速率會隨溫度、表面積和濃度梯度的增加而加快。
The rate of diffusion increases with higher temperature, larger surface area, and steeper concentration gradient.",
29782008,"第 3 課 第 8 題
Chapter 3 Question 8
📌 參考答案
B. 白血球吞噬細菌
B. White blood cells engulfing bacteria
📌 詳細解釋
題目問及哪項過程屬於吞噬作用。
The question asks which process represents phagocytosis.
吞噬作用是大分子或顆粒物質進入細胞的過程，細胞膜會向外延伸包圍目標物。
Phagocytosis is the process by which large molecules or particulate matter enter a cell, with the cell membrane extending outwards to engulf the target.
白血球透過改變形狀伸出偽足，包圍並吞噬細菌，形成食物泡。
White blood cells change shape to extend pseudopodia, enclosing and engulfing bacteria to form a food vacuole.
其他選項分析：
Analysis of other options:
A. 消化酶的分泌是透過胞吐作用（外排作用）將物質排出細胞外。
A. The secretion of digestive enzymes is through exocytosis, releasing substances out of the cell.
C. 植物根部吸收水分是透過滲透作用進行。
C. The absorption of water by plant roots is carried out through osmosis.
D. 氣體在肺泡中的交換依賴簡單擴散。
D. Gas exchange in the alveoli relies on simple diffusion.
📌 考試提醒
吞噬作用 (Phagocytosis)：屬於胞吞作用的一種，需要消耗能量，涉及細胞膜結構的大幅改變。
Phagocytosis: A type of endocytosis that requires energy and involves significant changes in the cell membrane structure.
常見錯誤：學生容易把胞吞（入細胞）和胞吐（出細胞）的方向混淆。
Common trap: Students easily confuse the directions of endocytosis (into the cell) and exocytosis (out of the cell).
📌 改正試一試
吞噬作用是一種需要消耗 ATP 的主動過程，涉及細胞膜包圍大顆粒。
Phagocytosis is an active process requiring ATP, involving the cell membrane engulfing large particles.",
29782009,"第 3 課 第 9 題
Chapter 3 Question 9
📌 參考答案
C. 細胞膜脫離細胞壁
C. The cell membrane pulls away from the cell wall
📌 詳細解釋
題目問及植物細胞發生質壁分離時的明顯特徵。
The question asks for the distinct feature when a plant cell undergoes plasmolysis.
當植物細胞置於高滲溶液中，細胞會大量流失水分，導致液泡和細胞質縮小。
When a plant cell is placed in a hypertonic solution, it loses a large amount of water, causing the vacuole and cytoplasm to shrink.
由於細胞壁堅硬且形狀不變，縮小的細胞膜便會從細胞壁上剝離，這現象稱為質壁分離。
Because the cell wall is rigid and maintains its shape, the shrinking cell membrane pulls away from the cell wall; this phenomenon is called plasmolysis.
其他選項分析：
Analysis of other options:
A. 細胞膜破裂通常是動物細胞在低滲溶液中發生的情況。
A. The bursting of the cell membrane typically occurs in animal cells in a hypotonic solution.
B. 細胞壁變形是不正確的，細胞壁具有剛性，即使細胞失水也能保持基本形狀。
B. Deformation of the cell wall is incorrect; the cell wall is rigid and maintains its basic shape even when the cell loses water.
D. 細胞核消失並非質壁分離的特徵，細胞依然存活。
D. The disappearance of the nucleus is not a feature of plasmolysis; the cell remains alive.
📌 考試提醒
質壁分離 (Plasmolysis)：只發生在有細胞壁的植物或真菌細胞中，是嚴重失水的結果。
Plasmolysis: Only occurs in plant or fungal cells that have a cell wall, resulting from severe water loss.
常見錯誤：學生有時會誤以為質壁分離後細胞會立即死亡，其實只要及時放回低滲溶液中，細胞可發生質壁分離復原 (Deplasmolysis)。
Common trap: Students sometimes mistakenly believe cells die immediately after plasmolysis; in fact, if promptly returned to a hypotonic solution, deplasmolysis can occur.
📌 改正試一試
質壁分離是指植物細胞因嚴重失水，導致細胞膜脫離細胞壁的現象。
Plasmolysis refers to the phenomenon where the cell membrane pulls away from the cell wall due to severe water loss in a plant cell.",
29782010,"第 3 課 第 10 題
Chapter 3 Question 10
📌 參考答案
C. 膽固醇調節細胞膜的流動性
C. Cholesterol regulates the fluidity of the cell membrane
📌 詳細解釋
題目問及流體鑲嵌模型中各種成分的功能。
The question asks about the functions of various components in the fluid mosaic model.
在動物細胞膜中，膽固醇分子穿插在磷脂分子之間。
In animal cell membranes, cholesterol molecules are interspersed among the phospholipid molecules.
它在高溫時能限制磷脂移動以穩定膜結構，在低溫時能防止磷脂過度緊密排列，從而調節流動性。
It restricts phospholipid movement at high temperatures to stabilize the membrane, and prevents excessively tight packing at low temperatures, thereby regulating fluidity.
其他選項分析：
Analysis of other options:
A. 糖蛋白的主要功能是細胞識別和受體，而非運輸氧氣。
A. The main function of glycoproteins is cell recognition and acting as receptors, not transporting oxygen.
B. 磷脂雙層本身不能產生能量，能量由線粒體產生。
B. The phospholipid bilayer itself cannot generate energy; energy is produced by mitochondria.
D. 載體蛋白負責運輸特定的分子，而非提供機械支持（那是細胞骨架的功能）。
D. Carrier proteins are responsible for transporting specific molecules, not providing mechanical support (which is the function of the cytoskeleton).
📌 考試提醒
膽固醇 (Cholesterol)：存在於動物細胞膜中，起着「流動性緩衝劑」的關鍵作用。
Cholesterol: Present in animal cell membranes, playing a crucial role as a ""fluidity buffer"".
常見錯誤：學生常以為膽固醇只對人體有害，忽略了它是維持細胞膜結構穩定性的必需物質。
Common trap: Students often think cholesterol is only harmful to the human body, ignoring that it is essential for maintaining the structural stability of cell membranes.
📌 改正試一試
細胞膜中的膽固醇有助於在不同溫度下維持適當的流動性。
Cholesterol in the cell membrane helps maintain appropriate fluidity at different temperatures.",
29782011,"第 3 課 第 11 題
Chapter 3 Question 11
📌 參考答案
C. 兩者皆不需要消耗 ATP 能量
C. Both do not require the consumption of ATP energy
📌 詳細解釋
題目要求比較簡單擴散和促進擴散的共同點。
The question requires comparing the commonalities between simple diffusion and facilitated diffusion.
簡單擴散和促進擴散都是被動運輸過程，物質都是順著濃度梯度移動。
Both simple diffusion and facilitated diffusion are passive transport processes where substances move down a concentration gradient.
因此，這兩個過程都不需要消耗細胞內的 ATP 能量。
Therefore, neither of these processes requires the consumption of intracellular ATP energy.
其他選項分析：
Analysis of other options:
A. 只有促進擴散需要載體蛋白或通道蛋白的協助。
A. Only facilitated diffusion requires the assistance of carrier proteins or channel proteins.
B. 簡單擴散適用於脂溶性分子，而促進擴散適用於水溶性大分子和離子。
B. Simple diffusion applies to lipid-soluble molecules, while facilitated diffusion applies to water-soluble large molecules and ions.
D. 兩者均不能逆濃度梯度進行，逆濃度梯度是主動運輸的特徵。
D. Neither can occur against a concentration gradient; moving against a concentration gradient is a feature of active transport.
📌 考試提醒
被動運輸 (Passive Transport)：依賴分子自身的動能，不需額外能量，移動方向必然是順濃度梯度。
Passive Transport: Relies on the inherent kinetic energy of molecules, requires no extra energy, and strictly moves down a concentration gradient.
常見錯誤：學生常因為促進擴散需要「蛋白質」協助，就誤以為它需要消耗能量。
Common trap: Because facilitated diffusion requires ""protein"" assistance, students often mistakenly believe it requires energy consumption.
📌 改正試一試
無論是簡單擴散還是促進擴散，只要是順濃度梯度的移動，均無需消耗 ATP。
Whether it is simple diffusion or facilitated diffusion, as long as the movement is down a concentration gradient, it does not consume ATP.",
29782012,"第 3 課 第 12 題
Chapter 3 Question 12
📌 參考答案
C. 抑制呼吸作用會停止主動運輸
C. Inhibiting respiration will stop active transport
📌 詳細解釋
題目問及氰化物（一種呼吸作用抑制劑）對細胞運輸機制的影響。
The question asks about the effect of cyanide (a respiratory inhibitor) on cellular transport mechanisms.
氰化物質會阻止細胞進行需氧呼吸，導致 ATP 停止產生。
Cyanide prevents cells from carrying out aerobic respiration, leading to a halt in ATP production.
由於主動運輸極度依賴 ATP 提供的能量，因此當沒有 ATP 時，主動運輸會立刻停止。
Since active transport strictly relies on energy provided by ATP, active transport will stop immediately when there is no ATP.
其他選項分析：
Analysis of other options:
A. 擴散作用是被動的，不依賴 ATP，因此不會被立即停止。
A. Diffusion is passive and does not rely on ATP, so it will not be stopped immediately.
B. 滲透作用同樣是被動過程，不受呼吸抑制劑影響。
B. Osmosis is also a passive process and is unaffected by respiratory inhibitors.
D. 促進擴散不需要消耗 ATP，因此不受影響。
D. Facilitated diffusion does not require ATP consumption, thus it is unaffected.
📌 考試提醒
呼吸抑制劑 (Respiratory inhibitors)：任何阻止 ATP 產生的物質或環境（如缺氧），都會直接癱瘓主動運輸。
Respiratory inhibitors: Any substance or condition (like lack of oxygen) that prevents ATP production will directly paralyze active transport.
常見錯誤：學生遇到化學毒藥題目時容易慌張，忘記只需將其與「能量產生」和「主動運輸」掛鉤即可。
Common trap: Students often panic when encountering chemical poison questions, forgetting they simply need to link it to ""energy production"" and ""active transport"".
📌 改正試一試
缺乏氧氣或存在呼吸抑制劑時，細胞無法產生 ATP，主動運輸會停止。
In the absence of oxygen or presence of respiratory inhibitors, cells cannot produce ATP, and active transport will stop.",
29782013,"第 3 課 第 13 題
Chapter 3 Question 13
📌 參考答案
B. 細胞壁是全透性的，而細胞膜是差異透性的
B. The cell wall is fully permeable, while the cell membrane is differentially permeable
📌 詳細解釋
題目問及植物細胞壁與細胞膜在透性上的分別。
The question asks for the difference in permeability between the plant cell wall and the cell membrane.
植物的細胞壁由纖維素組成，結構疏鬆，允許所有大小的水分子和溶質自由穿過，屬於全透性。
The plant cell wall is made of cellulose with a loose structure, allowing free passage of all water molecules and solutes regardless of size, making it fully permeable.
細胞膜則只允許特定大小或性質的分子穿過，因此是差異透性（半透性）。
The cell membrane only allows molecules of specific sizes or properties to pass through, thus it is differentially permeable (selectively permeable).
其他選項分析：
Analysis of other options:
A. 將兩者的透性完全顛倒了。
A. This completely reverses the permeabilities of the two structures.
C. 細胞壁並非差異透性，它無法選擇性地阻止溶質進入。
C. The cell wall is not differentially permeable; it cannot selectively prevent solutes from entering.
D. 細胞膜不是全透性的，否則細胞將無法維持內部環境的穩定。
D. The cell membrane is not fully permeable, otherwise the cell could not maintain internal environmental stability.
📌 考試提醒
全透性 vs 差異透性 (Fully vs Differentially permeable)：細胞壁擋不住任何溶質，真正在控制物質進出的是細胞膜。
Fully vs Differentially permeable: The cell wall cannot block any solutes; it is the cell membrane that truly controls the entry and exit of substances.
常見錯誤：學生常以為細胞壁在最外層，所以負責篩選物質，這完全是概念錯誤。
Common trap: Students often assume that because the cell wall is the outermost layer, it filters substances, which is a complete misconception.
📌 改正試一試
細胞壁是全透性的，而細胞膜是控制物質進出的差異透性膜。
The cell wall is fully permeable, whereas the cell membrane is a differentially permeable membrane controlling substance exchange.",
29782014,"第 3 課 第 14 題
Chapter 3 Question 14
📌 參考答案
B. 活細胞的細胞膜具有差異透性
B. The cell membrane of a living cell is differentially permeable
📌 詳細解釋
題目問及利用煮沸的紅菜頭組織與新鮮組織進行透性實驗的結論。
The question asks for the conclusion of a permeability experiment using boiled beetroot tissue versus fresh tissue.
煮沸過程會高溫破壞細胞膜上的蛋白質及磷脂結構，使細胞膜死亡並失去差異透性，變成全透性。
The boiling process uses high heat to destroy the proteins and phospholipid structure of the cell membrane, killing the membrane and causing it to lose its differential permeability, becoming fully permeable.
因此，紅色的花青素會從煮沸的細胞中大量流出，證明活細胞的細胞膜是維持差異透性的關鍵。
Therefore, red anthocyanin leaks heavily from boiled cells, proving that the cell membrane of living cells is key to maintaining differential permeability.
其他選項分析：
Analysis of other options:
A. 紅色色素本來就在液泡內，與細胞壁是否分解無關，且沸水不會分解纖維素。
A. The red pigment is inherently in the vacuole, which is unrelated to cell wall breakdown, and boiling water does not digest cellulose.
C. 煮沸會增加擴散速率，但色素漏出的主因是膜結構被破壞，並非單純物理加速。
C. Boiling increases diffusion rate, but the main reason for pigment leakage is membrane destruction, not just physical acceleration.
D. 活細胞能透過差異透性保留大分子色素，而非主動將其泵出。
D. Living cells retain large pigment molecules via differential permeability, rather than actively pumping them out.
📌 考試提醒
細胞膜的穩定性 (Stability of cell membrane)：高溫、極端 pH 值或有機溶劑（如酒精）均會破壞細胞膜結構。
Stability of cell membrane: High temperatures, extreme pH values, or organic solvents (like alcohol) will destroy the cell membrane structure.
常見錯誤：學生在解釋紅菜頭實驗時，常只回答「色素擴散」，而遺漏了「高溫破壞膜蛋白質導致失去差異透性」這一核心考點。
Common trap: When explaining the beetroot experiment, students often only answer ""pigment diffusion"" and miss the core point that ""high temperatures denature membrane proteins, causing loss of differential permeability"".
📌 改正試一試
高溫會使膜蛋白變性，令細胞膜失去差異透性，導致色素漏出。
High temperatures denature membrane proteins, causing the cell membrane to lose its differential permeability and resulting in pigment leakage.",
